date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone,sulphur_dioxide,temp_max,wind_direction,humidity,wind_speed,pressure,solar_radiation,temp_min,temp_avg,CLRSKY_SFC_SW_DWN,cloud_cover,ALLSKY_SFC_LW_DWN,rainfall,month,day,day_of_week,year,season,id
2022-08-04,38.07368421052632,24.18421052631579,614.4736842105264,32.13157894736842,30.94736842105263,77.52105263157895,29.72,39.1,84.16,4.1,99.76,3.8239,26.92,28.19,7.3469,99.23,10.4606,17.79,8,4,3,2022,2,1
2022-08-05,45.88333333333333,30.629166666666663,756.4583333333334,45.41666666666666,28.541666666666668,73.60833333333333,28.85,306.0,86.31,4.5,99.66,5.3345,26.92,27.91,7.2679,93.32,10.4928,5.26,8,5,4,2022,2,2
2022-08-06,39.29583333333333,27.241666666666664,611.4166666666666,37.13333333333333,45.375,39.62083333333333,29.29,247.0,87.67,4.19,99.56,2.8555,27.0,28.02,7.0685,99.36,10.5365,19.27,8,6,5,2022,2,3
2022-08-07,29.195833333333336,20.3375,571.375,35.604166666666664,29.666666666666668,29.85833333333333,29.7,252.0,87.15,6.22,99.36,2.1415,26.72,27.91,7.1878,99.86,10.5797,22.84,8,7,6,2022,2,4
2022-08-08,16.691666666666666,11.491666666666667,323.6666666666667,26.879166666666663,24.58333333333333,17.029166666666665,29.09,245.0,87.07,8.37,99.26,1.3399,26.37,27.66,6.9902,99.35,10.5422,10.67,8,8,0,2022,2,5
2022-08-09,15.154166666666669,10.391666666666667,259.7083333333333,23.3875,34.166666666666664,16.058333333333334,30.0,235.5,86.16,10.12,99.3,3.0602,26.32,27.9,7.0817,99.93,10.5194,7.11,8,9,1,2022,2,6
2022-08-10,19.72083333333333,12.916666666666666,254.125,22.041666666666668,43.083333333333336,17.441666666666666,30.58,237.0,82.45,9.04,99.42,3.3658,26.36,28.35,6.8206,99.81,10.4988,1.9,8,10,2,2022,2,7
2022-08-11,27.3125,17.1375,296.4166666666667,24.10833333333333,51.04166666666666,19.79583333333333,30.96,231.9,83.75,6.86,99.69,5.6868,27.39,28.75,7.0836,92.83,10.4894,1.05,8,11,3,2022,2,8
2022-08-12,34.65833333333333,22.73333333333333,539.375,27.475,43.75,27.2875,30.61,237.2,85.99,4.95,99.84,4.1302,27.43,28.56,6.8273,93.9,10.5643,10.68,8,12,4,2022,2,9
2022-08-13,28.579166666666666,18.98333333333333,464.625,29.8625,24.916666666666668,24.08333333333333,29.03,256.6,87.45,6.39,99.79,1.7081,26.99,27.8,6.8234,99.58,10.4926,13.63,8,13,5,2022,2,10
2022-08-14,20.34583333333333,13.833333333333334,365.7916666666667,25.725,23.125,17.441666666666666,28.88,253.7,87.33,8.12,99.74,1.668,26.54,27.31,7.1515,99.53,10.4078,31.79,8,14,6,2022,2,11
2022-08-15,26.40416666666667,16.720833333333335,306.9583333333333,25.77083333333333,41.54166666666666,19.925,29.84,236.7,85.21,7.17,100.04,3.7421,26.57,27.88,6.709,98.75,10.3932,1.9,8,15,0,2022,2,12
2022-08-16,42.5625,25.725,410.1666666666667,32.1875,56.875,26.65416666666667,30.15,232.7,85.26,5.08,100.27,5.555,26.49,27.99,6.755,67.56,10.4878,2.44,8,16,1,2022,2,13
2022-08-17,45.43333333333334,27.641666666666666,429.5416666666667,37.4625,58.0,26.579166666666666,29.56,236.5,87.59,4.38,100.21,5.9671,26.21,27.89,6.5784,79.61,10.4018,2.52,8,17,2,2022,2,14
2022-08-18,65.08333333333333,43.25,972.3333333333334,40.09166666666667,50.91666666666666,47.38333333333333,28.54,246.4,89.93,4.13,100.01,3.7332,27.09,27.82,6.6559,99.18,10.4825,7.26,8,18,3,2022,2,15
2022-08-19,42.66666666666666,29.20833333333333,897.7916666666666,34.7,30.416666666666668,41.37083333333333,30.28,254.6,84.71,2.93,99.86,1.5744,26.85,28.48,6.3214,99.49,10.5302,8.43,8,19,4,2022,2,16
2022-08-20,25.954166666666666,17.25,399.9583333333333,30.3125,40.208333333333336,22.6375,29.81,256.2,87.95,4.98,99.77,4.6313,26.7,28.12,7.0337,99.03,10.4158,11.81,8,20,5,2022,2,17
2022-08-21,27.704166666666666,18.2875,363.375,27.725,48.375,21.6125,30.45,243.2,87.53,5.09,99.76,6.4906,27.02,28.38,6.9804,60.03,10.319,2.51,8,21,6,2022,2,18
