Target,Model,RMSE,MAE,R2
pm10,LSTM,17.92887000317418,14.239814765508036,0.19569467132446738
pm10,XGBoost,18.039004389443836,13.946955017007475,0.18578286475040262
pm10,Ensemble,15.283114324019499,12.707424470641513,0.41556147897600415
pm2_5,LSTM,13.793705583191285,10.432449271836584,0.48869783600885286
pm2_5,XGBoost,12.694594175194238,10.118005776759261,0.5669347163419751
pm2_5,Ensemble,12.350519902533527,9.417247344929518,0.5900921773460671
ozone,LSTM,21.260817983186197,17.124204159426462,0.19807949076362552
ozone,XGBoost,28.29602875590208,23.518443752396927,-0.42043824868201085
ozone,Ensemble,19.97674110190361,16.413687887462043,0.2920205298509002
temp_avg,LSTM,0.7110720819047459,0.5143387436963285,0.9311692592584546
temp_avg,XGBoost,0.5782450091797727,0.44107371836056114,0.9544824399246515
temp_avg,Ensemble,0.5473960154467239,0.40799759034685756,0.9592095542195579
temp_min,LSTM,1.138281236528057,0.736511864604255,0.8553335436933602
temp_min,XGBoost,0.5167145776838129,0.37271142658434425,0.9701894411563288
temp_min,Ensemble,0.6997512087969177,0.4802891420063221,0.9453291276077981
temp_max,LSTM,0.9737994792749234,0.757700435931866,0.8663740814827169
temp_max,XGBoost,0.9782197824668268,0.7919473961586895,0.8651582096844267
temp_max,Ensemble,0.8538279583110661,0.6814939426314012,0.8972711632091867
humidity,LSTM,9.881755842088651,6.431544430999137,-2.885799609880725
humidity,XGBoost,3.001579697763447,2.3042798444616643,0.641481211305583
humidity,Ensemble,5.461893421347523,3.7956373268776087,-0.1871308875686788
rainfall,LSTM,11.158448592704646,6.607010012155602,0.09439841684553962
rainfall,XGBoost,9.836735602087748,5.024554341622451,0.29622872664248845
rainfall,Ensemble,9.929803771916273,5.28902114770673,0.2828485651657412
wind_speed,LSTM,1.5666943456469031,1.289919848461383,0.15286804372992002
wind_speed,XGBoost,1.0764111165257226,0.8186157015364179,0.6001115492720086
wind_speed,Ensemble,1.1688331970756707,0.9196480157597345,0.528493603672201
