latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
17.71474,83.26244,306,0.39,0.36,2015-01-01,2011,N,VIIRS,n,2,291.18,0.91,N,2
17.69442,83.24038,303.5,0.39,0.36,2015-01-01,2011,N,VIIRS,n,2,290.96,0.7,N,0
17.60829,83.20068,306.18,0.53,0.42,2015-01-02,1953,N,VIIRS,n,2,290.67,1.24,N,2
17.62075,83.1952,303.52,0.35,0.57,2015-01-03,1934,N,VIIRS,n,2,291.78,1.2,N,2
17.60909,83.20403,308.53,0.35,0.57,2015-01-03,1934,N,VIIRS,n,2,292.27,2.08,N,2
17.60898,83.20459,307.19,0.48,0.65,2015-01-04,2055,N,VIIRS,n,2,291.17,1.53,N,2
17.61014,83.20242,311.77,0.48,0.48,2015-01-05,2036,N,VIIRS,n,2,292.63,1.39,N,2
17.60576,83.20148,308.39,0.48,0.48,2015-01-05,2036,N,VIIRS,n,2,293.1,1.66,N,2
17.65149,83.12505,335.44,0.39,0.36,2015-01-06,0747,N,VIIRS,n,2,302.59,2.99,D,0
17.7056,83.25698,334.91,0.38,0.36,2015-01-06,0747,N,VIIRS,n,2,304.75,2.18,D,0
17.73559,83.03263,332.44,0.39,0.36,2015-01-06,0747,N,VIIRS,n,2,301.65,2.65,D,0
17.84086,83.01452,341.89,0.39,0.36,2015-01-06,0747,N,VIIRS,n,2,299.92,3.54,D,0
17.61035,83.20099,305.2,0.41,0.37,2015-01-06,2018,N,VIIRS,n,2,291.93,0.88,N,2
17.96375,83.15993,302.78,0.41,0.37,2015-01-06,2018,N,VIIRS,n,2,292.08,0.77,N,0
17.53166,82.9995,301.91,0.41,0.37,2015-01-06,2018,N,VIIRS,n,2,291.22,0.39,N,0
17.60686,83.20119,308.66,0.41,0.37,2015-01-06,2018,N,VIIRS,n,2,291.55,0.81,N,2
17.60963,83.20564,311.53,0.41,0.37,2015-01-06,2018,N,VIIRS,n,2,295.02,1.75,N,2
17.94269,83.22309,305.69,0.41,0.37,2015-01-06,2018,N,VIIRS,n,2,291.54,0.65,N,0
17.83751,83.37207,302.72,0.41,0.37,2015-01-06,2018,N,VIIRS,n,2,290.79,0.43,N,0
17.71537,83.26263,309.18,0.41,0.37,2015-01-06,2018,N,VIIRS,n,2,292.39,0.77,N,2
17.61026,83.2018,309.73,0.41,0.37,2015-01-06,2018,N,VIIRS,n,2,292.5,0.81,N,2
17.6097,83.20483,313.29,0.41,0.37,2015-01-06,2018,N,VIIRS,n,2,294.53,1.66,N,2
17.62186,83.19514,307.41,0.41,0.37,2015-01-06,2018,N,VIIRS,n,2,292.66,1.35,N,2
17.60979,83.20287,310.64,0.44,0.39,2015-01-07,1959,N,VIIRS,n,2,293.93,1.3,N,2
17.96406,83.15768,302.84,0.45,0.39,2015-01-07,1959,N,VIIRS,n,2,291.57,0.64,N,0
17.96492,83.15941,302.17,0.45,0.39,2015-01-07,1959,N,VIIRS,n,2,291.49,0.76,N,0
17.73047,83.28696,302.47,0.44,0.38,2015-01-07,1959,N,VIIRS,n,2,291.28,0.25,N,0
17.73061,83.28774,301.65,0.44,0.38,2015-01-07,1959,N,VIIRS,n,2,291.25,0.24,N,0
17.71652,83.26009,301.77,0.44,0.38,2015-01-07,1959,N,VIIRS,n,2,291.74,0.47,N,2
17.60625,83.20233,314.75,0.44,0.39,2015-01-07,1959,N,VIIRS,n,2,294.94,2.39,N,2
17.62161,83.19617,307.03,0.44,0.39,2015-01-07,1959,N,VIIRS,n,2,292.6,1.4,N,2
17.62216,83.19357,303.07,0.55,0.51,2015-01-08,1940,N,VIIRS,n,2,291.06,0.81,N,0
17.60671,83.20226,305.71,0.55,0.51,2015-01-08,1940,N,VIIRS,n,2,292.08,1.4,N,2
17.61145,83.20287,304.8,0.55,0.51,2015-01-08,1940,N,VIIRS,n,2,291.32,1.04,N,2
17.83798,83.37335,304.22,0.54,0.51,2015-01-08,1940,N,VIIRS,n,2,289.54,0.46,N,0
17.6037,83.20158,300.91,0.57,0.69,2015-01-09,1921,N,VIIRS,n,2,290.41,0.86,N,2
17.61014,83.20224,302.61,0.57,0.69,2015-01-09,1921,N,VIIRS,n,2,291.37,1.3,N,2
17.60808,83.20374,314.28,0.61,0.71,2015-01-09,2101,N,VIIRS,n,2,292.23,1.59,N,2
17.60901,83.20341,309.7,0.61,0.71,2015-01-09,2101,N,VIIRS,n,2,291.58,1.74,N,2
17.83875,83.37064,330.59,0.61,0.54,2015-01-10,2042,N,VIIRS,n,2,289.73,5.64,N,0
17.60882,83.20596,301.84,0.6,0.53,2015-01-10,2043,N,VIIRS,n,2,291.65,0.87,N,2
17.8402,83.37262,335.15,0.4,0.37,2015-01-11,0753,N,VIIRS,n,2,306.2,5.31,D,0
17.76024,82.84589,343.29,0.39,0.36,2015-01-11,0753,N,VIIRS,n,2,306.1,5.38,D,0
17.99183,82.95154,333.36,0.39,0.36,2015-01-11,0753,N,VIIRS,n,2,300.48,2.3,D,0
17.83966,83.36888,339.6,0.4,0.37,2015-01-11,0753,N,VIIRS,n,2,309.56,17.22,D,0
17.76358,82.84534,333.18,0.39,0.36,2015-01-11,0753,N,VIIRS,n,2,303.09,5.38,D,0
17.60721,83.20312,307.08,0.47,0.4,2015-01-11,2024,N,VIIRS,n,2,292.94,2.02,N,2
17.96315,83.16036,299.31,0.47,0.39,2015-01-11,2024,N,VIIRS,n,2,288.85,0.68,N,0
17.84017,83.37016,301.28,0.48,0.4,2015-01-11,2024,N,VIIRS,n,2,289.59,0.88,N,0
17.63857,83.21699,299.82,0.47,0.4,2015-01-11,2024,N,VIIRS,n,2,289.36,0.26,N,2
17.63036,83.22134,301.23,0.47,0.4,2015-01-11,2024,N,VIIRS,n,2,289.33,0.8,N,2
