DATE,T2M_MAX,WD10M,RH2M,WS10M,PS,ALLSKY_SFC_SW_DWN,T2M_MIN,T2M,CLRSKY_SFC_SW_DWN,CLOUD_AMT,ALLSKY_SFC_LW_DWN,PRECTOTCORR
20100101,27.12,70.4,70.88,3.95,100.99,3.5698,21.76,24.4,4.4114,59.48,9.7769,0.05
20100102,26.91,59.9,65.28,4.79,101.18,4.6404,20.96,23.53,4.7417,33.9,9.1342,0.02
20100103,27.22,58.4,51.85,4.15,101.13,4.8108,18.92,22.71,4.8998,30.45,8.5498,0.0
20100104,25.54,62.9,59.47,2.95,100.94,4.4808,19.43,22.4,4.8192,50.06,8.6016,0.0
20100105,28.08,62.5,59.21,3.77,100.78,4.6644,20.19,23.68,4.7059,18.05,8.8402,0.0
20100106,27.28,61.2,69.18,4.49,100.88,4.2576,20.23,23.4,4.3502,25.53,9.0149,0.0
20100107,26.67,55.3,68.23,5.08,101.01,4.2269,19.7,23.02,4.7273,41.07,9.1992,0.0
20100108,27.4,56.3,68.79,5.75,101.01,3.9449,20.74,23.93,4.7952,58.24,9.8405,0.01
20100109,26.94,64.5,73.71,4.78,100.99,2.5373,22.73,24.55,4.7791,85.55,10.2533,0.18
20100110,28.01,78.3,78.81,4.43,101.0,1.7966,23.12,25.29,4.5756,84.6,10.2667,0.16
20100111,28.2,80.8,79.37,3.73,101.1,3.8642,23.73,25.49,4.139,37.83,9.9533,0.07
20100112,28.0,99.4,80.71,3.28,101.09,3.9254,23.46,25.35,4.2199,41.05,9.905,0.18
20100113,27.82,119.8,77.34,2.88,101.16,3.7762,23.97,25.46,4.0843,36.82,9.8405,2.6
20100114,27.41,108.5,75.64,3.02,101.3,2.9645,24.06,25.31,4.4508,64.92,9.9893,0.77
20100115,26.81,66.3,77.0,5.36,101.44,3.2438,23.24,24.77,4.5247,73.25,10.0106,0.01
20100116,26.87,64.4,73.26,4.59,101.52,3.234,22.85,24.71,4.0099,62.35,9.9113,0.02
20100117,28.0,86.4,73.36,3.48,101.45,3.7428,22.29,24.83,4.177,44.0,9.6192,0.0
20100118,27.14,97.9,70.69,2.78,101.36,3.737,22.94,24.63,4.2794,64.72,9.5995,0.04
20100119,28.47,99.0,65.7,2.44,101.17,4.565,23.1,24.95,4.7743,37.98,9.162,0.0
20100120,27.59,66.0,60.72,3.3,101.28,4.9392,20.8,23.87,4.9987,15.14,8.8838,0.0
20100121,27.15,58.4,62.13,4.28,101.21,5.0602,19.66,23.1,5.1828,18.25,8.6916,0.0
20100122,27.13,59.0,61.68,4.27,101.17,5.2486,19.57,23.13,5.4434,22.52,8.6978,0.0
20100123,27.43,66.8,61.97,4.08,101.18,5.4533,19.47,23.27,5.5303,14.83,8.6676,0.0
20100124,27.14,84.9,62.32,3.43,101.1,5.5061,20.11,23.45,5.5769,17.88,8.6278,0.0
20100125,27.62,89.0,61.93,3.29,101.11,5.3342,20.69,23.95,5.4492,14.16,8.7955,0.0
20100126,27.95,83.2,67.3,3.25,101.18,5.2145,20.95,24.38,5.3388,21.27,9.0946,0.0
20100127,27.86,75.9,65.96,3.58,101.19,5.071,21.14,24.4,5.2692,25.73,9.1306,0.0
20100128,27.63,87.2,64.88,3.62,101.24,4.6092,21.31,24.28,5.0549,61.97,9.5561,0.0
20100129,28.11,92.0,63.53,3.32,101.2,4.7688,21.7,24.61,4.9802,44.97,9.3451,0.0
20100130,28.66,106.0,64.11,2.31,101.15,5.155,21.88,24.72,5.3642,43.17,9.2909,0.0
20100131,27.88,95.8,62.35,2.44,101.18,5.0947,21.29,24.36,5.3599,57.84,9.0602,0.0
20100201,27.54,85.7,66.88,2.97,101.15,5.0287,20.75,23.83,5.4067,48.29,8.9208,0.0
20100202,27.52,92.9,66.54,2.6,101.08,5.3095,20.97,23.82,5.4754,28.9,8.8409,0.0
20100203,28.71,135.9,60.88,1.88,101.03,5.1706,21.47,24.79,5.2757,24.58,8.8774,0.0
20100204,28.6,127.4,59.29,1.68,101.09,4.8518,22.72,25.2,5.0518,30.2,9.0742,0.3
20100205,29.03,102.9,67.91,2.42,101.15,4.5965,21.82,25.11,4.6829,26.6,9.2587,0.08
20100206,28.64,82.8,69.7,2.94,101.2,4.8672,22.1,24.93,5.5102,40.93,9.3302,0.0
20100207,28.72,81.7,61.27,2.81,101.18,5.7019,20.73,24.48,5.7874,16.64,8.7737,0.0
20100208,28.91,164.9,57.74,1.85,100.95,5.6549,21.31,24.65,5.8243,27.9,8.7727,0.0
20100209,28.55,199.6,65.66,2.87,100.87,5.6969,20.75,24.35,5.7506,12.52,8.6765,0.0
20100210,28.31,153.9,66.49,2.13,100.92,5.9489,20.79,24.31,6.0199,17.44,8.693,0.0
20100211,28.23,82.5,67.18,3.0,101.08,5.2529,21.18,24.53,6.0254,57.16,9.0432,0.04
20100212,29.17,86.5,71.01,2.67,101.08,5.3374,21.27,25.06,5.6479,56.41,9.0581,0.02
20100213,29.91,92.5,68.87,3.1,100.92,5.6832,21.77,25.42,5.8363,40.61,8.9354,0.0
20100214,30.46,169.8,63.34,2.31,100.8,5.7674,21.87,25.75,5.8512,21.51,9.0108,0.0
20100215,29.99,138.2,68.49,2.08,100.82,5.3911,22.59,25.86,5.6282,34.37,9.3259,0.0
20100216,30.06,125.6,70.24,2.14,100.93,5.124,22.66,25.98,5.4646,39.47,9.295,0.0
20100217,30.81,208.1,69.61,3.31,100.9,5.6513,22.62,26.45,5.8106,27.41,9.2971,0.0
20100218,32.41,191.9,59.86,2.99,100.88,5.6446,24.42,27.77,5.7238,24.21,9.4726,0.0
20100219,31.24,156.9,62.2,2.37,101.0,5.0518,25.23,27.57,5.3026,54.32,9.7702,0.06
20100220,32.12,175.7,67.66,2.84,100.99,4.7333,23.96,27.32,5.297,71.86,9.8602,0.05
20100221,31.05,167.6,67.61,2.69,101.0,5.0347,25.14,27.31,5.699,84.11,9.8318,0.0
20100222,30.87,150.4,71.02,2.55,100.94,5.2231,24.91,27.01,5.7307,37.6,9.8222,0.0
20100223,31.84,192.3,70.45,3.75,100.73,5.5032,24.18,27.43,5.9078,26.61,9.779,0.05
20100224,31.38,203.0,75.18,4.9,100.55,4.4784,25.05,27.72,5.7792,59.7,10.187,0.15
20100225,32.9,214.9,69.16,4.54,100.63,5.7127,24.47,28.35,5.9971,39.11,9.8623,0.06
20100226,31.87,196.6,67.93,2.99,100.79,4.8005,25.65,28.0,5.8519,66.72,9.9859,0.19
20100227,32.53,171.4,65.86,2.7,100.76,6.0948,24.61,27.9,6.307,18.64,9.6322,0.19
20100228,32.1,188.2,65.32,2.75,100.81,6.3662,24.42,27.57,6.5074,11.57,9.2887,0.0
20100301,31.95,210.4,72.26,3.79,100.89,6.2914,23.3,27.3,6.4176,11.8,9.3353,0.0
20100302,32.89,215.2,65.64,4.62,100.76,6.205,24.17,28.12,6.3439,18.48,9.4258,0.0
20100303,34.33,219.8,60.58,5.62,100.58,6.0854,24.58,28.85,6.2791,23.31,9.4219,0.0
20100304,32.63,216.5,64.07,5.51,100.57,5.8723,24.99,28.45,5.9734,22.51,9.5887,0.0
20100305,33.3,218.2,66.47,5.74,100.56,5.7461,25.08,28.73,6.0082,29.09,9.7308,0.0
20100306,32.97,215.2,67.8,5.31,100.65,6.0283,25.73,28.84,6.1649,21.53,9.7598,0.0
20100307,33.9,208.0,70.96,4.84,100.69,5.8248,25.62,29.02,5.9491,24.78,9.9125,0.0
20100308,32.5,189.8,75.44,3.63,100.74,5.2891,26.06,28.7,5.5896,36.04,10.099,0.04
20100309,32.19,178.2,74.91,2.84,100.91,5.131,25.81,28.27,5.5188,41.34,10.1465,0.07
20100310,31.53,141.6,68.99,2.1,101.04,5.3129,25.52,28.06,5.784,33.72,10.0346,0.0
