datetime,T2M,RH2M,WS2M,WD2M,PS,PRECTOTCORR,YEAR
2015-01-01 00:00:00,22.85,95.23,6.53,31.3,100.22,4.92,2015
2015-01-01 01:00:00,22.48,94.97,6.39,29.4,100.11,4.56,2015
2015-01-01 02:00:00,22.43,94.75,6.01,34.0,100.01,4.42,2015
2015-01-01 03:00:00,22.72,94.81,5.41,48.7,99.95,3.96,2015
2015-01-01 04:00:00,23.18,95.12,4.75,67.1,99.93,3.88,2015
2015-01-01 05:00:00,23.7,95.47,4.4,87.4,99.94,3.72,2015
2015-01-01 06:00:00,24.18,95.92,4.4,103.2,99.98,1.98,2015
2015-01-01 07:00:00,25.09,95.53,4.7,120.8,100.04,2.07,2015
2015-01-01 08:00:00,25.99,94.34,4.51,145.7,100.13,1.91,2015
2015-01-01 09:00:00,26.43,91.19,5.4,176.8,100.23,1.61,2015
2015-01-01 10:00:00,26.56,85.93,6.45,195.9,100.3,1.9,2015
2015-01-01 11:00:00,26.76,80.8,6.87,207.3,100.3,1.9,2015
2015-01-01 12:00:00,27.23,75.42,6.72,211.1,100.25,1.64,2015
2015-01-01 13:00:00,27.9,69.96,6.27,214.7,100.18,1.34,2015
2015-01-01 14:00:00,28.21,66.76,5.6,217.5,100.17,1.26,2015
2015-01-01 15:00:00,28.19,65.74,4.97,218.7,100.19,1.01,2015
2015-01-01 16:00:00,27.9,66.47,4.43,218.0,100.25,0.72,2015
2015-01-01 17:00:00,26.84,71.79,3.71,211.9,100.35,0.52,2015
2015-01-01 18:00:00,25.49,77.5,3.48,207.7,100.47,0.36,2015
2015-01-01 19:00:00,25.08,80.42,3.42,211.7,100.61,0.31,2015
2015-01-01 20:00:00,24.66,83.15,3.24,220.1,100.7,0.29,2015
2015-01-01 21:00:00,24.26,85.26,2.92,229.9,100.75,0.27,2015
2015-01-01 22:00:00,23.87,86.37,2.53,241.4,100.75,0.25,2015
2015-01-01 23:00:00,23.45,86.87,2.14,256.2,100.74,0.23,2015
2015-01-02 00:00:00,23.01,86.93,1.79,274.8,100.72,0.16,2015
2015-01-02 01:00:00,22.58,86.75,1.55,297.7,100.68,0.11,2015
2015-01-02 02:00:00,22.2,86.49,1.51,320.6,100.64,0.09,2015
2015-01-02 03:00:00,21.91,86.2,1.58,339.6,100.62,0.06,2015
2015-01-02 04:00:00,21.7,86.04,1.65,353.4,100.63,0.04,2015
2015-01-02 05:00:00,21.54,86.13,1.62,4.6,100.68,0.02,2015
2015-01-02 06:00:00,21.44,86.35,1.63,16.8,100.77,0.01,2015
2015-01-02 07:00:00,22.17,83.92,1.74,26.6,100.87,0.01,2015
2015-01-02 08:00:00,23.7,76.63,1.99,38.9,100.98,0.01,2015
2015-01-02 09:00:00,25.21,70.01,1.76,66.2,101.05,0.01,2015
2015-01-02 10:00:00,26.24,66.29,1.44,80.8,101.06,0.01,2015
2015-01-02 11:00:00,26.92,63.91,1.15,96.5,100.99,0.01,2015
2015-01-02 12:00:00,27.36,62.7,1.03,113.6,100.88,0.02,2015
2015-01-02 13:00:00,27.59,62.31,1.13,125.0,100.77,0.03,2015
2015-01-02 14:00:00,27.66,61.93,1.43,129.6,100.71,0.05,2015
2015-01-02 15:00:00,27.5,62.59,1.83,132.8,100.69,0.05,2015
2015-01-02 16:00:00,27.08,63.91,2.17,135.6,100.73,0.05,2015
2015-01-02 17:00:00,26.05,69.51,2.29,137.8,100.8,0.05,2015
2015-01-02 18:00:00,24.81,76.88,2.18,141.7,100.89,0.05,2015
2015-01-02 19:00:00,24.44,80.66,2.0,146.0,101.0,0.05,2015
2015-01-02 20:00:00,24.27,82.75,1.77,151.0,101.07,0.04,2015
2015-01-02 21:00:00,24.3,83.03,1.54,158.3,101.09,0.03,2015
2015-01-02 22:00:00,24.19,83.84,1.2,167.5,101.07,0.04,2015
2015-01-02 23:00:00,24.01,84.94,0.83,179.3,101.05,0.04,2015
2015-01-03 00:00:00,23.75,86.19,0.38,208.6,101.02,0.09,2015
2015-01-03 01:00:00,23.41,88.05,0.42,308.2,100.97,0.11,2015
2015-01-03 02:00:00,22.96,90.62,0.85,337.9,100.94,0.13,2015
2015-01-03 03:00:00,22.6,92.6,1.21,353.3,100.92,0.14,2015
2015-01-03 04:00:00,22.39,93.34,1.43,5.2,100.94,0.16,2015
2015-01-03 05:00:00,22.26,93.47,1.56,16.3,100.98,0.11,2015
2015-01-03 06:00:00,22.18,92.98,1.64,27.2,101.06,0.1,2015
2015-01-03 07:00:00,22.83,89.22,1.72,35.1,101.14,0.08,2015
2015-01-03 08:00:00,24.37,81.17,1.93,49.6,101.22,0.05,2015
2015-01-03 09:00:00,25.67,74.51,1.98,72.4,101.25,0.41,2015
