pm2_5, pm10 , carbon_monoxide, nitrogen_dioxide, sulphur_dioxide, ozone, ammonia, datetime
 27.0,  41.9,           695.0,             25.4,           115.1,  25.0,        , 2022-08-04 05:00:00
 32.2,  49.4,           734.0,             26.7,           120.7,  23.0,        , 2022-08-04 06:00:00
 29.7,  45.4,           787.0,             28.6,           128.4,  21.0,        , 2022-08-04 07:00:00
 26.8,  41.2,           805.0,             30.4,           131.4,  20.0,        , 2022-08-04 08:00:00
 24.9,  38.6,           734.0,             30.1,           122.1,  22.0,        , 2022-08-04 09:00:00
 23.6,  37.0,           618.0,             29.2,           106.7,  26.0,        , 2022-08-04 10:00:00
 23.7,  37.4,           483.0,             27.7,            86.9,  32.0,        , 2022-08-04 11:00:00
 24.5,  38.6,           428.0,             26.5,            76.0,  37.0,        , 2022-08-04 12:00:00
 23.2,  36.9,           391.0,             25.0,            66.2,  42.0,        , 2022-08-04 13:00:00
 21.1,  33.9,           359.0,             23.8,            54.7,  45.0,        , 2022-08-04 14:00:00
 18.2,  29.7,           333.0,             23.6,            46.0,  41.0,        , 2022-08-04 15:00:00
 15.3,  25.2,           314.0,             24.0,            37.9,  33.0,        , 2022-08-04 16:00:00
 22.1,  36.1,           476.0,             38.8,            52.2,  36.0,        , 2022-08-04 17:00:00
 20.8,  33.8,           517.0,             40.0,            53.1,  35.0,        , 2022-08-04 18:00:00
 20.7,  33.4,           577.0,             41.9,            54.5,  33.0,        , 2022-08-04 19:00:00
 22.1,  35.4,           677.0,             43.5,            55.5,  31.0,        , 2022-08-04 20:00:00
 24.6,  38.9,           796.0,             43.1,            56.0,  30.0,        , 2022-08-04 21:00:00
 28.1,  43.7,           937.0,             42.0,            56.2,  29.0,        , 2022-08-04 22:00:00
 30.9,  46.9,          1014.0,             40.2,            53.3,  27.0,        , 2022-08-04 23:00:00
 30.4,  45.6,           895.0,             39.0,            46.2,  25.0,        , 2022-08-05 00:00:00
 21.5,  32.8,           681.0,             37.8,            36.5,  24.0,        , 2022-08-05 01:00:00
 19.6,  29.6,           456.0,             35.8,            26.5,  22.0,        , 2022-08-05 02:00:00
 19.3,  28.8,           411.0,             33.8,            24.0,  22.0,        , 2022-08-05 03:00:00
 20.8,  30.6,           420.0,             31.4,            24.1,  23.0,        , 2022-08-05 04:00:00
 57.5,  84.5,          1523.0,             34.5,            89.2,  23.0,        , 2022-08-05 05:00:00
 54.8,  80.3,          1402.0,             39.2,            94.4,  20.0,        , 2022-08-05 06:00:00
 44.6,  65.9,          1229.0,             45.8,           102.1,  17.0,        , 2022-08-05 07:00:00
 35.9,  54.1,          1033.0,             52.7,           113.7,  14.0,        , 2022-08-05 08:00:00
 32.9,  49.9,           963.0,             54.7,           125.6,  15.0,        , 2022-08-05 09:00:00
 32.9,  49.9,           927.0,             55.2,           139.1,  18.0,        , 2022-08-05 10:00:00
